path,label,freq_energy_ratio,entropy,mean,std,skewness,kurtosis,edge_density,defect_area_ratio,connected_regions
../data/tyre_dataset/good/good (1).jpg,0,0.9888561885814425,5.009716129164119,132.48135375976562,72.41817041646465,-0.08191984793635895,-1.1772116313106828,0.1361846923828125,0.6167449951171875,33.0
../data/tyre_dataset/good/good (10).jpg,0,0.9992667689971543,5.777500586520109,130.20721435546875,73.59181820848306,-0.023786728743606187,-1.2398708321435263,0.267669677734375,0.5153961181640625,5.0
../data/tyre_dataset/good/good (100).jpg,0,0.9954211382826473,7.247586781840319,128.34202575683594,73.83630271473415,-0.003901059482163683,-1.2031712720140935,0.1387176513671875,0.509185791015625,11.0
../data/tyre_dataset/good/good (101).jpg,0,0.9882182591606847,7.36474208522647,128.281982421875,73.63196378871409,-0.009255237420451605,-1.2012262358805743,0.13330078125,0.51678466796875,27.0
../data/tyre_dataset/good/good (102).jpg,0,0.98825898249581,7.382838746073544,128.27346801757812,73.55866592838184,-0.002611119789515758,-1.2065010024244287,0.1521453857421875,0.5032806396484375,30.0
../data/tyre_dataset/good/good (103).jpg,0,0.9942301839078894,7.309578905593423,128.32040405273438,73.72409794037426,-0.00948944170119145,-1.2019883913603437,0.1327056884765625,0.51104736328125,23.0
../data/tyre_dataset/good/good (104).jpg,0,0.9947070851611327,7.290099583642586,128.3555908203125,73.55125179836173,-0.008389045959143065,-1.1944393174531491,0.094757080078125,0.5143585205078125,22.0
../data/tyre_dataset/good/good (105).jpg,0,0.9876979362831438,7.237018307178863,128.33436584472656,73.64553686902552,-0.013073481878793619,-1.200625674144568,0.151031494140625,0.512725830078125,39.0
../data/tyre_dataset/good/good (106).jpg,0,0.992365689992668,7.370100052458305,128.22080993652344,73.62831837862335,-0.009433354188449856,-1.2017264516303934,0.1171417236328125,0.50494384765625,26.0
../data/tyre_dataset/good/good (107).jpg,0,0.9859760155620628,7.597702051914429,128.07293701171875,73.72764298818126,-0.0014150522820228044,-1.20591507942229,0.172515869140625,0.505126953125,32.0
../data/tyre_dataset/good/good (108).jpg,0,0.985751005264893,7.560986930817322,128.16114807128906,73.67911623463262,-0.00011811147451122042,-1.2053653580093366,0.1846771240234375,0.5086212158203125,21.0
../data/tyre_dataset/good/good (109).jpg,0,0.9949843619405968,7.534148183531034,128.1774139404297,73.59229615238449,0.0002589921514240027,-1.2022149814275604,0.1263275146484375,0.4990386962890625,14.0
